tournament_id;tournament_name;tournament_classification;start_date;month;year;host_federation
1;SA OPEN;A1;;JULY;2015;NATIONAL
2;SA OPEN;A1;;JULY;2016;NATIONAL
3;GAUTENG OPEN;P1;;NOVEMBER;2016;GAUTENG CENTRAL
4;RAVENS OPEN;O1;;JUNE;2017;CAPE TOWN
5;SA OPEN;A1;;JULY;2017;NATIONAL
6;CALLIES OPEN;O1;;AUGUST;2017;EASTERN CAPE
7;WP OPEN;P1;;NOVEMBER;2017;CAPE TOWN
8;GAUTENG OPEN;P1;;FEBRUARY;2018;GAUTENG CENTRAL
9;GOODWOOD OPEN;O1;;MAY;2018;CAPE TOWN
10;TOP TTC JUNIOR OPEN;O1;;MAY;2018;CAPE TOWN
11;SA OPEN;A1;;JUNE;2018;NATIONAL
12;RAVENS OPEN;O1;;JULY;2018;CAPE TOWN
13;CALLIES OPEN;O1;;AUGUST;2018;EASTERN CAPE
14;CAPE TOWN OPEN;P2;;OCTOBER;2018;CAPE TOWN
15;CHATSWORTH OPEN;O1;;NOVEMBER;2018;KWA-ZULU NATAL
16;SA SCHOOLS;A3;;DECEMBER;2018;NATIONAL
17;PEDRO MEYER CLASSIC;O2;;DECEMBER;2018;CAPE TOWN
18;CMC OPEN;O1;;MARCH;2019;FREE STATE
19;TOP TTC OPEN;O1;;MARCH;2019;CAPE TOWN
20;NORTHERN CAPE OPEN;O1;;APRIL;2019;NORTHERN CAPE
21;RAIDERS JUNIORS;O1;;APRIL;2019;GAUTENG CENTRAL
22;FREE STATE OPEN;P1;;MAY;2019;FREE STATE
23;ARNOLD CLASSIC;O2;;MAY;2019;GAUTENG CENTRAL
24;GAUTENG NORTH JUNIOR OPEN;O1;;MAY;2019;GAUTENG NORTH
25;GAUTENG NORTH SENIOR OPEN;O1;;JULY;2019;GAUTENG NORTH
26;RAVENS OPEN;O1;;JULY;2019;CAPE TOWN
27;UCT OPEN;O1;;AUGUST;2019;CAPE TOWN
28;CALLIES OPEN;O1;;AUGUST;2019;EASTERN CAPE
29;SA OPEN;A1;;SEPTEMBER;2019;NATIONAL
30;CAPE TOWN OPEN;P3;;OCTOBER;2019;CAPE TOWN
31;SA SCHOOLS;A3;;DECEMBER;2019;NATIONAL
32;CAPE TOWN OPEN;P1;23-Oct-21;OCTOBER;2021;CAPE TOWN
